category,recipient,year ordered,year delivered
aircraft,Lebanon,2014,2016-2017
aircraft,Lebanon,2015,2016
aircraft,Lebanon,2017,2019
aircraft,Lithuania,-2012,2012
aircraft,Macedonia,2000,2000
aircraft,Macedonia,2001,2001
aircraft,Malaysia,4-Jul,2013
aircraft,Malaysia,2016,2020
aircraft,Malta,1-Jul,2011
aircraft,Malta,-2010,2012
aircraft,Malta,2015,2017
aircraft,Mauritania,2014,2014
aircraft,Mexico,-1998,1999-2002
aircraft,Mexico,-1999,1999-2000
aircraft,Mexico,-1999,2000
aircraft,Mexico,-2000,2002
aircraft,Mexico,2000,2000
aircraft,Mexico,2000,2000
aircraft,Mexico,2000,2000
aircraft,Mexico,-2002,2004
aircraft,Mexico,-2003,2006
aircraft,Mexico,2008,2009
aircraft,Mexico,2008,2008
aircraft,Mexico,-2009,2010
aircraft,Mexico,2009,2009
aircraft,Mexico,2010,2011
aircraft,Mexico,2010,2011
aircraft,Mexico,-2011,2012
aircraft,Mexico,-2013,2016
aircraft,Mexico,2013,2014-2015
aircraft,Mexico,-2013,2014
aircraft,Mexico,2014,2015
aircraft,Mexico,-2014,2015-2016
aircraft,Mexico,2014,2015-2016
aircraft,Mexico,-2014,2015-2016
aircraft,Mexico,2014,2014
aircraft,Mexico,-2014,2016-2018
aircraft,Mexico,2014,2016-2017
aircraft,Mexico,2014,2015-2017
aircraft,Mexico,2014,2015
aircraft,Mexico,-2014,2016-2017
aircraft,Mexico,2015,2015-2016
aircraft,Mexico,2015,2015-2016
aircraft,Mexico,2015,2016-2017
aircraft,Mexico,2015,2017
aircraft,Mexico,-2018,2018
aircraft,Morocco,30-Jun,2011-2012
aircraft,Morocco,2009,2011-2012
aircraft,Morocco,2012,2015
aircraft,Morocco,2016,2018
aircraft,Morocco,-2018,2019
aircraft,NATO**,1-Jul,2009
aircraft,NATO**,2009,2009
aircraft,NATO**,2012,2019
aircraft,Nepal,-2018,2019
aircraft,Netherlands,1995,1998-2002
aircraft,Netherlands,2004,2004
aircraft,Netherlands,2005,2010
aircraft,Netherlands,2007,2012-2013
aircraft,Netherlands,2012,2014-2015
aircraft,Netherlands,2012,2012
aircraft,Netherlands,-2012,2013
aircraft,Netherlands,2016,2020
aircraft,Netherlands,2018,2020
aircraft,New Zealand,1997,2001-2002
aircraft,New Zealand,1999,2003
aircraft,New Zealand,2013,2014-2015
aircraft,New Zealand,2014,2014-2015
aircraft,New Zealand,2017,2018
aircraft,Niger,-2013,2013
aircraft,Niger,-2013,2015
aircraft,Niger,2014,2015
aircraft,Niger,-2015,2020
aircraft,Nigeria,2013,2014
aircraft,Nigeria,2014,2015-2018
aircraft,Norway,29-Jun,2008-2010
aircraft,Norway,2012,2012
aircraft,Oman,24-Jun,2005-2008
aircraft,Oman,2009,2012
aircraft,Oman,2010,2013-2014
aircraft,Oman,2011,2014
aircraft,Oman,2015,2015-2016
aircraft,Pakistan,-2001,2002
aircraft,Pakistan,-2001,2002
aircraft,Pakistan,2003,2009-2012
aircraft,Pakistan,2004,2007
aircraft,Pakistan,2004,2004-2005
aircraft,Pakistan,2004,2005-2007
aircraft,Pakistan,2005,2005-2008
aircraft,Pakistan,2005,2007-2012
aircraft,Pakistan,-2007,2008
aircraft,Pakistan,2007,2010
aircraft,Pakistan,-2008,2009
aircraft,Pakistan,2008,2011
aircraft,Pakistan,2009,2010
aircraft,Pakistan,2009,2009
aircraft,Pakistan,2009,2010
aircraft,Pakistan,-2011,2013-2018
aircraft,Pakistan,-2013,2013
aircraft,Pakistan,-2013,2015
aircraft,Pakistan,2014,2015
aircraft,Pakistan,2015,2016
aircraft,Pakistan,-2015,2016
aircraft,Pakistan,2016,2016
aircraft,Pakistan,2016,2017
aircraft,Panama,30-Jun,2009
aircraft,Panama,2010,2012
aircraft,Panama,-2017,2018
aircraft,Paraguay,2-Jul,2011-2012
aircraft,Paraguay,2012,2012-2013
aircraft,Peru,-2001,2001
aircraft,Peru,2002,2002
aircraft,Peru,2002,2003-2004
aircraft,Peru,2002,2002
aircraft,Peru,-2004,2004-2005
aircraft,Peru,-2004,2006
aircraft,Peru,2008,2009
aircraft,Peru,2009,2009
aircraft,Peru,2009,2010-2013
aircraft,Peru,-2010,2011
aircraft,Peru,-2010,2011
aircraft,Peru,2010,2011
aircraft,Peru,-2013,2013
aircraft,Peru,-2015,2015
aircraft,Peru,-2015,2015
aircraft,Peru,-2015,2015
aircraft,Philippines,23-Jun,2002-2003
aircraft,Philippines,-2001,2001
aircraft,Philippines,2003,2007-2008
aircraft,Philippines,2003,2004-2005
aircraft,Philippines,2003,2006-2007
aircraft,Philippines,2004,2004
aircraft,Philippines,-2009,2011
aircraft,Philippines,-2009,2009
aircraft,Philippines,2013,2014
aircraft,Philippines,2014,2015
aircraft,Philippines,-2014,2016
aircraft,Philippines,2016,2017
aircraft,Philippines,2017,2018
aircraft,Poland,23-Jun,2002-2003
aircraft,Poland,-2004,2009-2012
aircraft,Poland,2009,2009
aircraft,Poland,2010,2011
aircraft,Poland,2010,2010
aircraft,Poland,2018,2018
aircraft,Portugal,1998,2003-2012
aircraft,Portugal,-2013,2019
aircraft,Qatar,30-Jun,2011
aircraft,Qatar,2008,2009
aircraft,Qatar,-2010,2012
aircraft,Qatar,-2014,2019
aircraft,Qatar,2015,2015-2016
aircraft,Romania,-1997,1999-2000
aircraft,Romania,2000,2001
aircraft,Romania,2004,2007
aircraft,Saudi Arabia,-1998,2004
aircraft,Saudi Arabia,2001,2002-2003
aircraft,Saudi Arabia,-2004,2007
aircraft,Saudi Arabia,-2005,2005-2006
aircraft,Saudi Arabia,2007,2008-2010
aircraft,Saudi Arabia,2008,2011
aircraft,Saudi Arabia,2008,2010-2011
aircraft,Saudi Arabia,-2009,2014-2015
aircraft,Saudi Arabia,-2009,2011
aircraft,Saudi Arabia,2009,2009
aircraft,Saudi Arabia,2010,2012-2013
aircraft,Saudi Arabia,2010,2011
aircraft,Saudi Arabia,-2011,2015-2016
aircraft,Saudi Arabia,2011,2016-2019
aircraft,Saudi Arabia,2011,2016
