category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
aircraft,Afghanistan,30,MD-500E,Light helicopter,2017,2018-2019,30,Armed MD-530F version; Afghan designation Jengi
aircraft,Afghanistan,106,S-70/UH-60A,Helicopter,2017,2019,-2,Second-hand but modernized to UH-60A+ before delivery; aid; delivery planned 2019-2022
aircraft,Afghanistan,-8,Cessna-208 Caravan,Light transport ac,2018,2018-2019,-8,$86 m deal; aid; armed Cessna-208B version
aircraft,Afghanistan,,CH-47D Chinook,Transport helicopter,-2019,,,Probably second-hand; probably selected but not yet ordered by end-2019
aircraft,Afghanistan,12,MD-500E,Light helicopter,2019,,,Armed MD-530F version; Afghan designation Jengi
aircraft,Albania,3,S-70/UH-60L,Helicopter,2019,,,Second-hand; aid
aircraft,Algeria,6,Beech-1900/C-12J,Light transport ac,2000,2001,-6,
aircraft,Algeria,6,Beech-1900D MMSA,AGS aircraft,2000,2001-2002,-6,$196-206 m deal; incl for SIGINT and use against GIA rebels
aircraft,Algeria,-3,Bell-412,Helicopter,-2001,2002,-3,Bell-412EP version; from Canadian production line
aircraft,Algeria,8,King Air,Light transport ac,-2009,2010-2011,-8,Incl 2 King Air C-90 and 6 King Air-300 or King Air-350 version
aircraft,Algeria,3,G-550 ISR,AEW&C aircraft,2015,,,$1.1 b deal; delivery delayed due to technical problems
aircraft,Angola,6,Cessna-172/T-41,Trainer/light ac,-2012,2013,6,Cessna-172R version
aircraft,Argentina,25,Bell-205/UH-1H,Helicopter,-1992,1992-2001,-25,Second-hand; aid
aircraft,Argentina,36,A-4AR Skyhawk,FGA aircraft,1994,1997-2000,-36,Second-hand A-4M/OA-4M and TA-4F versions modernized to 32 A-4AR and 4 TA-4AR versions (incl 8 modernized in USA and 28 in Argentina with US components); $208-282 m deal
aircraft,Argentina,16,Bell-205/UH-1H,Helicopter,1996,1997-2000,16,Second-hand; aid
aircraft,Argentina,2,Model-300,Light helicopter,-2001,2001,2,Schweizer-300C version; for Coast Guard
aircraft,Argentina,1,SA-315B Lama,Light helicopter,2001,2001,1,Second-hand; incl for SAR
aircraft,Argentina,9,Bell-205/UH-1 Huey-2,Helicopter,2004,2005-2008,-9,Argentinian UH-1H rebuilt to Huey-2; incl 8 assembled in Argentina
aircraft,Argentina,-5,Bell-205/UH-1H,Helicopter,-2006,2007,5,Second-hand; 1 more for spares only
aircraft,Argentina,-11,Bell-205/UH-1 Huey-2,Helicopter,-2006,2010-2019,-7,Argentinian UH-1H rebuilt to Huey-2; assembled in Argentina (possibly incl production of components in Argentina)
aircraft,Argentina,4,S-61/H-3A Sea King,Transport helicopter,2007,2008-2009,4,Second-hand; $18-22 m deal; modernized before delivery; UH-3H version; 2 more for spares only
aircraft,Argentina,5,Bell-206/OH-58,Light helicopter,2009,2011-2012,5,Bell-206B3 version; for training
aircraft,Argentina,1,Bell-412,Helicopter,-2011,2013,1,Bell-412EP version; from Canadian production line
aircraft,Argentina,1,Bell-412,Helicopter,2014,2015,1,Part of $17 m deal; Bell-412EP version from Canadian production line
aircraft,Argentina,1,Bell-412,Helicopter,2014,2015,1,Second-hand; part of $17 m deal; Bell-412EP version
aircraft,Argentina,1,PA-28 Cherokee,Light aircraft,-2014,2015,1,
aircraft,Argentina,2,C-212,Transport aircraft,2015,2015,-2,Second-hand; C-212-200 version
aircraft,Argentina,2,Cessna-208 Caravan,Light transport ac,2015,2015,2,Cessna-208B version
aircraft,Argentina,1,Citation-2,Light transport ac,2015,2015,1,Second-hand
aircraft,Argentina,2,Cessna-208 Caravan,Light transport ac,-2016,2016,2,Cessna-208B version
aircraft,Argentina,4,Bell-412,Helicopter,-2017,2017,4,Bell-412EP version; from Canadian production line
aircraft,Argentina,12,PC-9,Trainer aircraft,2017,2017-2019,12,T-6C+ armed version
aircraft,Argentina,-2,Cessna-208 Caravan,Light transport ac,-2018,,,Cessna-208B version
aircraft,Argentina,1,Learjet-60,Light transport ac,2019,,,Second-hand
aircraft,Argentina,4,P-3C Orion,ASW aircraft,2019,,,Second-hand but possibly modernized before delivery; $78 m deal
aircraft,Australia,12,C-130J-30 Hercules,Transport aircraft,1995,1999-2000,12,'Project Air-5216' worth $466-670 m; option on 12 more not used
aircraft,Australia,2,CH-47D Chinook,Transport helicopter,1998,2001,2,$45 m deal
aircraft,Australia,7,King Air,Light transport ac,2002,2003-2004,-7,$170 m 10-year lease (bought and owned by Australian company); King Air-350 version; for training
aircraft,Australia,3,King Air,Light transport ac,2005,2005-2006,3,10-year lease (bought and owned by Australian company); King Air-350 version; incl for surveillance
aircraft,Australia,4,C-17A Globemaster-3,Heavy transport ac,2006,2006-2008,4,AUD1.9 b ($1.5 b) deal (offsets AUD345 m)
aircraft,Australia,24,F/A-18E Super Hornet,FGA aircraft,2007,2010-2011,24,AUD6 b ($4.8 b) deal; interim solution to cover gap between F-111 retirement and delivery of F-35; F/A-18F version
aircraft,Australia,-4,ScanEagle,UAV,2007,2007,-4,Leased for use in Iraq and Afghanistan and Iraq
aircraft,Australia,5,King Air,Light transport ac,-2009,2010,5,King Air-300 version; bought by and leased from Australian company
aircraft,Australia,-10,RQ-7 Shadow-200,UAV,2010,2011-2012,-10,AUD175 m ($157 m) deal (incl 4 control systems); for use in Afghanistan
aircraft,Australia,3,Bell-429 GlobalRanger,Light helicopter,2011,2012,3,AUD26 m ($24 m) 4-year lease; for training
aircraft,Australia,1,C-17A Globemaster-3,Heavy transport ac,2011,2011,1,$300 m deal
aircraft,Australia,2,CH-47D Chinook,Transport helicopter,2011,2012,2,Second-hand
aircraft,Australia,24,MH-60R Seahawk,ASW helicopter,2011,2013-2016,24,AUD2.6 b ($2.5 b) 'Project Air-9000 Phase-8' ($1.5 b offsets)
aircraft,Australia,1,C-17A Globemaster-3,Heavy transport ac,2012,2012,1,
aircraft,Australia,7,CH-47F Chinook,Transport helicopter,2012,2015,7,AUD514 m ($470 m) 'Project Air-9000 Phase-5C'
aircraft,Australia,12,EA-18G Growler,FGA/EW aircraft,2013,2015-2017,-12,$1.5 b 'Project-5349 Phase-3' programme
aircraft,Australia,1,Bell-429 GlobalRanger,Light helicopter,-2015,2016,1,For training
aircraft,Australia,2,C-17A Globemaster-3,Heavy transport ac,2015,2015,2,AUD700 m ($544 m) deal
aircraft,Australia,2,G-550 SIGINT,SIGINT aircraft,2015,,,Part of 'Air-555' programme; Australian designation MC-55A Peregrine; delivery planned by 2021
aircraft,Australia,3,CH-47F Chinook,Transport helicopter,2016,2016,3,$180 m deal
aircraft,Australia,6,MQ-4C Triton,UAV,2018,,,Part of AUD3-4 b 'Project JP-2062' or 'Air-7000 Phase-1B'; MQ-4CN version; delivery planned 2023-2025
aircraft,Australia,2,G-550 SIGINT,SIGINT aircraft,-2019,,,Part of 'Air-555' programme; Australian designation MC-55A Peregrine
aircraft,Australia,-12,MQ-9 Reaper,Armed UAV,2019,,,AUD1.3 b ($884 m) 'Project Air-7003'; selected 2019 but not yet ordered by end-2019
aircraft,Austria,9,S-70/UH-60L,Helicopter,2000,2002,-9,$183 m deal (incl $47 import duties; offsets $394 m); incl for SAR; S-70A-42 version; option on 3 more not used
aircraft,Bahamas,1,King Air,Light transport ac,-2005,2005,1,King Air-350 version
aircraft,Bahamas,1,Cessna-208 Caravan,Light transport ac,2007,2009,1,
aircraft,Bahrain,10,F-16C,FGA aircraft,1998,2000,10,$303 m 'Peace Crown-2' deal; F-16 Block-40 version; option on more not used
aircraft,Bahrain,-12,AH-1F Cobra,Combat helicopter,2001,2005-2007,-12,Second-hand
aircraft,Bahrain,1,King Air,Light transport ac,2005,2006,1,King Air-350; incl for MP
aircraft,Bahrain,8,S-70/UH-60L,Helicopter,2007,2010,8,UH-60M version; incl for CSAR
aircraft,Bahrain,16,F-16V,FGA aircraft,2017,,,Delivery planned 2022-2023
aircraft,Bahrain,12,AH-1Z Viper,Combat helicopter,2018,,,Delivery planned from 2022
aircraft,Bangladesh,4,C-130B Hercules,Transport aircraft,1999,2000,-4,Second-hand; $15 m deal; modernized before delivery
aircraft,Belgium,1,C-130E Hercules,Transport aircraft,29-Jun,2009,1,Second-hand but modernized to C-130H version in Belgium
aircraft,Belgium,34,F-35A Lightning-2,FGA aircraft,2018,,,EUR3.8 b deal; delivery planned 2023-2030
aircraft,Belgium,-2,MQ-9 Reaper,UAV,-2019,,,MQ-9B SkyGuardian version
aircraft,Bolivia,-3,C-130B Hercules,Transport aircraft,1999,1999-2000,-3,Second-hand; aid; possibly for spare parts only
aircraft,Bolivia,6,R-44,Light helicopter,-2010,2011-2012,6,For training
aircraft,Bolivia,2,Foxtrot-4,Light aircraft,-2012,2013,2,For training; assembled from kits in Bolivia
aircraft,Bolivia,-1,Tango-2,Light aircraft,-2012,2013,1,Assembled from kit in Bolivia
aircraft,Bolivia,2,King Air,Light transport ac,-2013,2014,2,King Air-250 and King Air-350 versions
aircraft,Bosnia-Herzegovina,4,Bell-205/UH-1 Huey-2,Helicopter,2019,,,$39 m deal; incl aid; second-hand UH-1H rebuilt to UH-1 Huey-2 before delivery; delivery planned 2020-2023
aircraft,Botswana,1,C-130B Hercules,Transport aircraft,-1999,2001,1,Second-hand but modernized before delivery
aircraft,Botswana,1,C-212,Transport aircraft,-2018,2018,1,Second-hand
aircraft,Botswana,1,C-212,Transport aircraft,-2018,2019,1,Second-hand
aircraft,Brazil,2,Metro-3/C-26,Transport aircraft,-1999,2001,-2,Second-hand but modernized before delivery; C-26 version
aircraft,Brazil,10,C-130H Hercules,Transport aircraft,2001,2001-2002,-10,Second-hand aircraft bought back to US producer and sold to Brazil; $66-70 m 'C-X' programme
aircraft,Brazil,9,P-3A Orion,ASW aircraft,2002,2011-2014,9,Second-hand; $10 m deal (part of $425 m 'P-X' programme incl modernization of 9 in Spain to P-3AM; 3 more for spare parts only)
aircraft,Brazil,-15,Cessna-208 Caravan,Light transport ac,-2005,2005-2008,-15,
aircraft,Brazil,6,S-70/UH-60L,Helicopter,2006,2006-2008,6,$180 m deal; for CSAR
aircraft,Brazil,4,S-70B/SH-60B Seahawk,ASW helicopter,2009,2012-2013,-4,$164 m deal; Brazilian designation MH-16
aircraft,Brazil,4,S-70/UH-60L,Helicopter,2009,2011,-4,$60 m deal
aircraft,Brazil,6,S-70/UH-60L,Helicopter,2009,2012,-6,$73 m deal
aircraft,Brazil,9,Cessna-208 Caravan,Light transport ac,2010,2011,-9,Brazilian designation C-98A
aircraft,Brazil,4,C-1 Trader,Light transport ac,2011,,,Second-hand; modernized to KC-2 Turbo Trader tanker/transport aircraft in USA before delivery (2-4 more delivered for spare parts); delivery planned 2021
aircraft,Brazil,2,S-70B/SH-60B Seahawk,ASW helicopter,2013,2015,2,$87 m deal; S-70B version; Brazilian designation SH-16
aircraft,Brazil,1,Boeing-767,Transport aircraft,2016,2016,1,Second-hand; lease; Boeing-767-300ER version; Brazilian designation C-767
aircraft,Brazil,4,Shorts-360,Transport aircraft,2017,,,Second-hand; C-23B+ version; delivery planned 2021
aircraft,Brazil,4,Shorts-360,Transport aircraft,2018,,,Second-hand; C-23B+ version
aircraft,Brazil,6,ScanEagle,UAV,2019,,,Delivery planned 2020
aircraft,Brunei,12,S-70/UH-60L,Helicopter,3-Jul,2013-2015,-12,S-70i version; from Polish production line
aircraft,Bulgaria,8,F-16V,FGA aircraft,2019,,,$1.2-1.3 b deal; delivery planned 2023-2024
aircraft,Burkina Faso,1,King Air,Light transport ac,28-Jun,2006,1,King Air B-200 version
aircraft,Cameroon,2,Bell-412,Helicopter,-2009,2010,2,Bell-214EP version
aircraft,Cameroon,1,Bell-412,Helicopter,-2015,2015,1,Probably second-hand; Bell-412EP version
aircraft,Cameroon,-2,ScanEagle,UAV,2015,2016,-2,$9.4 m deal
aircraft,Cameroon,2,Cessna-208 Caravan,Light transport ac,2016,2018,2,$4.3 m aid; for surveillance
aircraft,Cameroon,2,Bell-412,Helicopter,-2018,2019,2,Second-hand; Bell-412EP version
