category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
,Italy,-34,Bell-412,Helicopter,1980,1983-2007,-34,AB-412SP/HP/EP and AB-412 Griffon version; incl 10 for coast guard
,,4,KC-767 GTTA,Tanker/transport ac,2002,2011-2012,4,$619 m deal (offsets up to $1.1 b incl assembly of 3 in Italy); option on 2 more
,,-60,F-35A Lightning-2,FGA aircraft,-2006,2015-2019,-11,Part of EUR7.5 b deal (incl assembly and production of components in Italy); 60 planned (originally 69 planned but reduced for financial reasons)
,,-30,F-35B Lightning-2,FGA aircraft,-2006,2018-2019,-2,Part of EUR7.5b deal (incl assembly and production of components in Italy); incl for use on aircraft carriers; 30 planned of which 11 agreed by end-2016 (originally 62 planned but reduced for financial reasons)
,,16,CH-47F Chinook,Transport helicopter,2009,2014-2018,-16,EUR900 m ($1.2 b) deal; incl production of components and assembly in Italy); ICH-47F version; option on 4 more
,,2,G-550 AEW,AEW&C aircraft,2012,2016-2018,2,$750 m deal (incl AEW system from Israel and $41 m for production of components in Italy); ordered via Israel (offsets for Israeli order of M-346 trainer aircraft); Italian designation E-550A
,Japan,210,Hughes-500D/MD,Light helicopter,1977,1978-2001,-210,OH-6D and OH-6DA armed version; incl for training
,,89,AH-1S Cobra,Combat helicopter,1982,1984-2000,-89,
,,-104,CH-47D Chinook,Transport helicopter,1984,1986-2017,-104,CH-47J and CH-47JA version; incl production in Japan
,,103,S-70B/SH-60B Seahawk,ASW helicopter,1988,1991-2005,-103,SH-60J version
,,-67,S-70/UH-60L,Helicopter,1988,1990-2013,-67,UH-60J (S-70A-12) version
,,21,BAe-125-800,Light transport ac,1995,1998-2010,21,'H-X' programme; RH-800 or Hawker-800 version; modified in Japan for SAR; Japanese designation U-125A
,,-80,S-70/UH-60L,Helicopter,1995,1998-2018,-40,$2.7 b deal; UH-60JA version
,,-74,S-70B/SH-60B Seahawk,ASW helicopter,1997,2005-2019,-61,SH-60K version
,,-13,AH-64D Apache,Combat helicopter,2001,2006-2016,-13,'AH-X' programme; AH-64DJP version; most assembled in Japan; original plan for up to 62 reduced to 13 for financial reasons
,,-40,S-70/UH-60L,Helicopter,-2010,2013-2018,-14,JPY190 b ($2.3 b) programme; UH-60J version; for SAR
,,-150,Bell-412,Helicopter,2015,JPY193 b ($1.6 b) 'UH-X' programme; Bell-412EPI version; produced in Japan; delivery planned from 2021,,
,,-6,KC-46A Pegasus,Tanker/transport aircraft,2017,Selected 2015 and 2019 but only 2 ordered by end-2019 (incl production of components in Japan); delivery planned from 2020,,
,Netherlands,37,F-35A Lightning-2,FGA aircraft,30-Jun,2012-2019,-10,Incl production of components in Netherlands and 29 from Italian production line; delivery planned 2014-2023
,Norway,-52,F-35A Lightning-2,FGA aircraft,-2008,2015-2019,-22,NOK63 b deal ($11.2 b; incl production of components in Norway); delivery planned 2015-2024
,Peru,1,BD-4,Light aircraft,-2009,2009,-1,BD-4C (BD-4LSA) version; for training; Peruvian designation Kuntur
,Philippines,2,Bell-205/UH-1 Huey-2,Helicopter,1997,2005,-2,Philippine UH-1H rebuilt to Huey-2; assembled from kits in Philippines
,Poland,48,F-16C Block-50/52,FGA aircraft,25-Jun,2006-2008,-48,$3.5 b 'Peace Sky-1' deal ($4.7 b incl interest; offsets $6 b incl production of components in Poland); F-16 Block-52M+ version; incl 12 F-16D version; Polish designation Jastrzab
,,4,S-70/UH-60L,Helicopter,2019,2019,4,PLZ683 m ($159-177 m) deal (incl production in Poland); S-70i version
,South Korea,120,F-16C Block-50/52,FGA aircraft,1991,1994-2001,-120,$2.5-5.2 b 'Peace Bridge-2' or 'Korean Fighter Programme' (KFP) deal (incl production of components for all 120 and 36 assembled from kits and 72 produced in South Korea; up to 51% value produced in South Korea); F-16 Block-52 version; incl some F-16D; South Korean designation KF-16
,,20,F-16C Block-50/52,FGA aircraft,2000,2003-2004,-20,$663 m 'Korean Fighter Programme-2' (KFP-2) deal (78% value produced in South Korea); F-16 Block-52 version; incl 5 F-16D; for use as reconnaissance aircraft; South Korean designation KF-16
,,40,F-15E Strike Eagle,FGA aircraft,2002,2005-2008,-40,$4.2 b 'F-X' programme (offsets 65-83% incl production of components for 32 F-15K and all production of AH-64 combat helicopter fuselages in South Korea); F-15K Slam Eagle version
,,4,Boeing-737 AEW&C,AEW&C aircraft,2006,2011-2012,4,$1.6-1.7 b 'E-X' or 'Peace Eye' programme (incl assembly of 3 in South Korea)
,,21,F-15E Strike Eagle,FGA aircraft,2008,2010-2012,21,$2.3 b 'Next Fighter-2' deal; F-15K Slam Eagle version
,,4,RQ-4A Global Hawk,UAV,2014,2019,-1,$657 m deal (incl production of components in South Korea); RQ-4B Block-30 version
,Turkey,4,Boeing-737 AEW&C,AEW&C aircraft,24-Jun,2014-2015,4,$1 b 'Peace Eagle' programme ($500-930 m offsets incl production of components and assembly of 3 in Turkey; originally $1.5 b but reduced with $500 m penalties for delayed delivery from 2007 to 2014-2015); option on 2 more
,,30,F-16C Block-50/52,FGA aircraft,2007,2011-2012,-30,$1.8 b 'Peace Onyx-4' deal; F-16C Block-50+ version; incl 16 F-16D
,,-2,F-35A Lightning-2,FGA aircraft,-2014,2018,-2,$11-16 b deal (incl production of components in Turkey to 50% of value of deal); originally up to 100 planned of which 30 ordered by 2018; delivery originally planned 2018-2030 but deliveries suspended indefinitely in 2019; fate of first 2 delivered in 2018 for training in USA unclear
,,69,S-70/UH-60L,Helicopter,2014,$3.5 b 'H-27' of 'TUHP 'programme (incl 40 more for police and other government agencies); T-70i version; produced in Turkey; delivery planned from 2021,,
,United Kingdom,67,AH-64D Apache,Combat helicopter,1996,2000-2004,-67,$2.8-3.95 b deal (offsets 100% incl assembly and production of components in UK); WAH-64D Apache AH-1 version
,,-138,F-35B Lightning-2,FGA aircraft,-2006,2012-2019,-18,'FCJA' or 'JCA' programme; incl production of components in UK
,,14,CH-47F Chinook,Transport helicopter,2011,2014-2015,14,GBP1 b ($1.6 b) 'FRC Land Lift (Heavy)' programme (incl 5 years support; offsets incl production of components in UK); UK designation Chinook HC-6
,,-50,AH-64E Apache Guardian,Combat helicopter,2016,Incl production of components in UK and components from deleted UK WAH-64D helicopters; delivery planned 2020-2030,,
,,5,Boeing-737 AEW&C,AEW&C aircraft,2019,GBP1.5 b ($2 b) deal; incl production of components in UK,,
,Afghanistan,6,Cessna-180 Skywagon,Light aircraft,3-Jul,2011,-6,Part of $88 m deal; Cessna-182T version; for training
,,6,MD-500E,Light helicopter,2011,2011,6,$17-20 m aid; MD-530F version; incl for training (but armed 2015)
,,4,C-130H Hercules,Transport aircraft,-2012,2013-2015,4,Second-hand; aid
,,12,MD-500E,Light helicopter,2014,2015,12,Armed MD-530F version
,,12,MD-500E,Light helicopter,-2015,2016,12,Armed MD-530F version
,,65,ScanEagle,UAV,2015,2016-2018,-65,$71 m deal
,,53,S-70/UH-60A,Helicopter,2016,2017-2019,-53,Second-hand but modernized to UH-60A+ before delivery; aid
,,30,MD-500E,Light helicopter,2017,2018-2019,30,Armed MD-530F version; Afghan designation Jengi
,,106,S-70/UH-60A,Helicopter,2017,2019,-2,Second-hand but modernized to UH-60A+ before delivery; aid; delivery planned 2019-2022
,,-8,Cessna-208 Caravan,Light transport ac,2018,2018-2019,-8,$86 m deal; aid; armed Cessna-208B version
,,CH-47D Chinook,Transport helicopter,-2019,Probably second-hand; probably selected but not yet ordered by end-2019,,,
,,12,MD-500E,Light helicopter,2019,Armed MD-530F version; Afghan designation Jengi,,
,Albania,3,S-70/UH-60L,Helicopter,2019,Second-hand; aid,,
,Algeria,6,Beech-1900/C-12J,Light transport ac,2000,2001,-6,
,,6,Beech-1900D MMSA,AGS aircraft,2000,2001-2002,-6,$196-206 m deal; incl for SIGINT and use against GIA rebels
,,-3,Bell-412,Helicopter,-2001,2002,-3,Bell-412EP version; from Canadian production line
,,8,King Air,Light transport ac,-2009,2010-2011,-8,Incl 2 King Air C-90 and 6 King Air-300 or King Air-350 version
,,3,G-550 ISR,AEW&C aircraft,2015,$1.1 b deal; delivery delayed due to technical problems,,
,Angola,6,Cessna-172/T-41,Trainer/light ac,-2012,2013,6,Cessna-172R version
,Argentina,25,Bell-205/UH-1H,Helicopter,-1992,1992-2001,-25,Second-hand; aid
,,36,A-4AR Skyhawk,FGA aircraft,1994,1997-2000,-36,Second-hand A-4M/OA-4M and TA-4F versions modernized to 32 A-4AR and 4 TA-4AR versions (incl 8 modernized in USA and 28 in Argentina with US components); $208-282 m deal
,,16,Bell-205/UH-1H,Helicopter,1996,1997-2000,16,Second-hand; aid
,,2,Model-300,Light helicopter,-2001,2001,2,Schweizer-300C version; for Coast Guard
,,1,SA-315B Lama,Light helicopter,2001,2001,1,Second-hand; incl for SAR
,,9,Bell-205/UH-1 Huey-2,Helicopter,2004,2005-2008,-9,Argentinian UH-1H rebuilt to Huey-2; incl 8 assembled in Argentina
,,-5,Bell-205/UH-1H,Helicopter,-2006,2007,5,Second-hand; 1 more for spares only
,,-11,Bell-205/UH-1 Huey-2,Helicopter,-2006,2010-2019,-7,Argentinian UH-1H rebuilt to Huey-2; assembled in Argentina (possibly incl production of components in Argentina)
,,4,S-61/H-3A Sea King,Transport helicopter,2007,2008-2009,4,Second-hand; $18-22 m deal; modernized before delivery; UH-3H version; 2 more for spares only
,,5,Bell-206/OH-58,Light helicopter,2009,2011-2012,5,Bell-206B3 version; for training
,,1,Bell-412,Helicopter,-2011,2013,1,Bell-412EP version; from Canadian production line
,,1,Bell-412,Helicopter,2014,2015,1,Part of $17 m deal; Bell-412EP version from Canadian production line
,,1,Bell-412,Helicopter,2014,2015,1,Second-hand; part of $17 m deal; Bell-412EP version
,,1,PA-28 Cherokee,Light aircraft,-2014,2015,1,
,,2,C-212,Transport aircraft,2015,2015,-2,Second-hand; C-212-200 version
,,2,Cessna-208 Caravan,Light transport ac,2015,2015,2,Cessna-208B version
,,1,Citation-2,Light transport ac,2015,2015,1,Second-hand
,,2,Cessna-208 Caravan,Light transport ac,-2016,2016,2,Cessna-208B version
,,4,Bell-412,Helicopter,-2017,2017,4,Bell-412EP version; from Canadian production line
,,12,PC-9,Trainer aircraft,2017,2017-2019,12,T-6C+ armed version
,,-2,Cessna-208 Caravan,Light transport ac,-2018,Cessna-208B version,,
,,1,Learjet-60,Light transport ac,2019,Second-hand,,
,,4,P-3C Orion,ASW aircraft,2019,Second-hand but possibly modernized before delivery; $78 m deal,,
,Australia,12,C-130J-30 Hercules,Transport aircraft,1995,1999-2000,12,'Project Air-5216' worth $466-670 m; option on 12 more not used
,,2,CH-47D Chinook,Transport helicopter,1998,2001,2,$45 m deal
,,7,King Air,Light transport ac,2002,2003-2004,-7,$170 m 10-year lease (bought and owned by Australian company); King Air-350 version; for training
,,3,King Air,Light transport ac,2005,2005-2006,3,10-year lease (bought and owned by Australian company); King Air-350 version; incl for surveillance
,,4,C-17A Globemaster-3,Heavy transport ac,2006,2006-2008,4,AUD1.9 b ($1.5 b) deal (offsets AUD345 m)
,,24,F/A-18E Super Hornet,FGA aircraft,2007,2010-2011,24,AUD6 b ($4.8 b) deal; interim solution to cover gap between F-111 retirement and delivery of F-35; F/A-18F version
,,-4,ScanEagle,UAV,2007,2007,-4,Leased for use in Iraq and Afghanistan and Iraq
,,5,King Air,Light transport ac,-2009,2010,5,King Air-300 version; bought by and leased from Australian company
,,-10,RQ-7 Shadow-200,UAV,2010,2011-2012,-10,AUD175 m ($157 m) deal (incl 4 control systems); for use in Afghanistan
,,3,Bell-429 GlobalRanger,Light helicopter,2011,2012,3,AUD26 m ($24 m) 4-year lease; for training
,,1,C-17A Globemaster-3,Heavy transport ac,2011,2011,1,$300 m deal
,,2,CH-47D Chinook,Transport helicopter,2011,2012,2,Second-hand
,,24,MH-60R Seahawk,ASW helicopter,2011,2013-2016,24,AUD2.6 b ($2.5 b) 'Project Air-9000 Phase-8' ($1.5 b offsets)
,,1,C-17A Globemaster-3,Heavy transport ac,2012,2012,1,
,,7,CH-47F Chinook,Transport helicopter,2012,2015,7,AUD514 m ($470 m) 'Project Air-9000 Phase-5C'
,,12,EA-18G Growler,FGA/EW aircraft,2013,2015-2017,-12,$1.5 b 'Project-5349 Phase-3' programme
,,1,Bell-429 GlobalRanger,Light helicopter,-2015,2016,1,For training
,,2,C-17A Globemaster-3,Heavy transport ac,2015,2015,2,AUD700 m ($544 m) deal
,,2,G-550 SIGINT,SIGINT aircraft,2015,Part of 'Air-555' programme; Australian designation MC-55A Peregrine; delivery planned by 2021,,
,,3,CH-47F Chinook,Transport helicopter,2016,2016,3,$180 m deal
,,6,MQ-4C Triton,UAV,2018,Part of AUD3-4 b 'Project JP-2062' or 'Air-7000 Phase-1B'; MQ-4CN version; delivery planned 2023-2025,,
,,2,G-550 SIGINT,SIGINT aircraft,-2019,Part of 'Air-555' programme; Australian designation MC-55A Peregrine,,
,,-12,MQ-9 Reaper,Armed UAV,2019,AUD1.3 b ($884 m) 'Project Air-7003'; selected 2019 but not yet ordered by end-2019,,
,Austria,9,S-70/UH-60L,Helicopter,2000,2002,-9,$183 m deal (incl $47 import duties; offsets $394 m); incl for SAR; S-70A-42 version; option on 3 more not used
,Bahamas,1,King Air,Light transport ac,-2005,2005,1,King Air-350 version
,,1,Cessna-208 Caravan,Light transport ac,2007,2009,1,
,Bahrain,10,F-16C,FGA aircraft,1998,2000,10,$303 m 'Peace Crown-2' deal; F-16 Block-40 version; option on more not used
,,-12,AH-1F Cobra,Combat helicopter,2001,2005-2007,-12,Second-hand
,,1,King Air,Light transport ac,2005,2006,1,King Air-350; incl for MP
,,8,S-70/UH-60L,Helicopter,2007,2010,8,UH-60M version; incl for CSAR
,,16,F-16V,FGA aircraft,2017,Delivery planned 2022-2023,,
,,12,AH-1Z Viper,Combat helicopter,2018,Delivery planned from 2022,,
,Bangladesh,4,C-130B Hercules,Transport aircraft,1999,2000,-4,Second-hand; $15 m deal; modernized before delivery
,Belgium,1,C-130E Hercules,Transport aircraft,29-Jun,2009,1,Second-hand but modernized to C-130H version in Belgium
,,34,F-35A Lightning-2,FGA aircraft,2018,EUR3.8 b deal; delivery planned 2023-2030,,
,,-2,MQ-9 Reaper,UAV,-2019,MQ-9B SkyGuardian version,,
,Bolivia,-3,C-130B Hercules,Transport aircraft,1999,1999-2000,-3,Second-hand; aid; possibly for spare parts only
,,6,R-44,Light helicopter,-2010,2011-2012,6,For training
,,2,Foxtrot-4,Light aircraft,-2012,2013,2,For training; assembled from kits in Bolivia
,,-1,Tango-2,Light aircraft,-2012,2013,1,Assembled from kit in Bolivia
,,2,King Air,Light transport ac,-2013,2014,2,King Air-250 and King Air-350 versions
,Bosnia-Herzegovina,4,Bell-205/UH-1 Huey-2,Helicopter,2019,$39 m deal; incl aid; second-hand UH-1H rebuilt to UH-1 Huey-2 before delivery; delivery planned 2020-2023,,
,Botswana,1,C-130B Hercules,Transport aircraft,-1999,2001,1,Second-hand but modernized before delivery
,,1,C-212,Transport aircraft,-2018,2018,1,Second-hand
,,1,C-212,Transport aircraft,-2018,2019,1,Second-hand
,Brazil,2,Metro-3/C-26,Transport aircraft,-1999,2001,-2,Second-hand but modernized before delivery; C-26 version
,,10,C-130H Hercules,Transport aircraft,2001,2001-2002,-10,Second-hand aircraft bought back to US producer and sold to Brazil; $66-70 m 'C-X' programme
,,9,P-3A Orion,ASW aircraft,2002,2011-2014,9,Second-hand; $10 m deal (part of $425 m 'P-X' programme incl modernization of 9 in Spain to P-3AM; 3 more for spare parts only)
,,-15,Cessna-208 Caravan,Light transport ac,-2005,2005-2008,-15,
,,6,S-70/UH-60L,Helicopter,2006,2006-2008,6,$180 m deal; for CSAR
,,4,S-70B/SH-60B Seahawk,ASW helicopter,2009,2012-2013,-4,$164 m deal; Brazilian designation MH-16
,,4,S-70/UH-60L,Helicopter,2009,2011,-4,$60 m deal
,,6,S-70/UH-60L,Helicopter,2009,2012,-6,$73 m deal
,,9,Cessna-208 Caravan,Light transport ac,2010,2011,-9,Brazilian designation C-98A
,,4,C-1 Trader,Light transport ac,2011,Second-hand; modernized to KC-2 Turbo Trader tanker/transport aircraft in USA before delivery (2-4 more delivered for spare parts); delivery planned 2021,,
,,2,S-70B/SH-60B Seahawk,ASW helicopter,2013,2015,2,$87 m deal; S-70B version; Brazilian designation SH-16
,,1,Boeing-767,Transport aircraft,2016,2016,1,Second-hand; lease; Boeing-767-300ER version; Brazilian designation C-767
,,4,Shorts-360,Transport aircraft,2017,Second-hand; C-23B+ version; delivery planned 2021,,
,,4,Shorts-360,Transport aircraft,2018,Second-hand; C-23B+ version,,
,,6,ScanEagle,UAV,2019,Delivery planned 2020,,
,Brunei,12,S-70/UH-60L,Helicopter,3-Jul,2013-2015,-12,S-70i version; from Polish production line
,Bulgaria,8,F-16V,FGA aircraft,2019,$1.2-1.3 b deal; delivery planned 2023-2024,,
,Burkina Faso,1,King Air,Light transport ac,28-Jun,2006,1,King Air B-200 version
,Cameroon,2,Bell-412,Helicopter,-2009,2010,2,Bell-214EP version
,,1,Bell-412,Helicopter,-2015,2015,1,Probably second-hand; Bell-412EP version
,,-2,ScanEagle,UAV,2015,2016,-2,$9.4 m deal
,,2,Cessna-208 Caravan,Light transport ac,2016,2018,2,$4.3 m aid; for surveillance
,,2,Bell-412,Helicopter,-2018,2019,2,Second-hand; Bell-412EP version
,Canada,24,PC-9,Trainer aircraft,1997,2000,24,$82 m deal; for civilian company for training of pilots from Canadian and other air forces under 'NATO Flying Training in Canada' (NFTC) programme; T-6A-1 Texan-2 version; Canadian designation CT-156 Harvard-2
,,2,PC-9,Trainer aircraft,2002,2002,2,$12 m deal; for civilian company for training of pilots from Canadian and other air forces under 'NATO Flying Training in Canada' (NFTC) programme; T-6A-1 Texan-2 version; Canadian designation CT-156 Harvard-2
,,4,C-17A Globemaster-3,Heavy transport ac,2007,2007-2008,4,$1.3 b deal (part of CAD3.4 b deal)
,,6,CH-47D Chinook,Transport helicopter,2008,2008-2009,-6,Second-hand; $249 m deal
,,15,CH-47F Chinook,Transport helicopter,2009,2013-2014,-15,CAD1.4 b ($1.4 b) deal (offsets 100%)
,,1,C-17A Globemaster-3,Heavy transport ac,-2014,2015,1,CAD415 m ($357 m) deal
,,5,RQ-21A Blackjack,UAV,2016,2017,5,$14 m deal
,,3,King Air-350 ISR,AGS aircraft,2019,CAD188 m ($142 m) deal (CAD247 m incl support); delivery planned 2022,,
,Central African Republic,1,C-130B Hercules,Transport aircraft,28-Jun,2006,1,Second-hand; C-130A version
,Chad,1,PC-7 Turbo Trainer,Trainer aircraft,-2006,2006,-1,Second-hand
,,2,Cessna-208 Caravan,Light transport ac,2016,2017,2,For surveillance; aid
,Chile,15,Cessna-337/O-2,Light aircraft,-1996,1997-2000,-15,Second-hand; 4 more delivered for spares only and 5 for storage for possible future use
,,1,Bell-412,Helicopter,2000,2000,1,Second-hand
,,-1,Bell-412,Helicopter,-2000,2001,1,Second-hand
,,3,CitationJet,Light transport ac,-2000,2001,3,For training
,,10,F-16C Block-50/52,FGA aircraft,2003,2006-2007,10,"$660 m 'Peace Puma', 'Caza-2000' or 'F-2000' progamme (price does not include engines; offsets 100%); F-16C Block-50 version; incl 4 F-16D version"
,,4,Bell-412,Helicopter,2007,2009,-4,$45 m deal; from Canadian production line; Bell-412EP version
,,8,Bell-412,Helicopter,-2009,2009-2011,-8,From Canadian production line; Bell-412EP version
,,3,KC-135 Stratotanker,Tanker/transport ac,-2009,2010-2012,3,Second-hand; $40 m deal; KC-135E version
,,4,SR-22,Light aircraft,-2012,2013-2015,4,
,,2,KC-130H Hercules,Tanker/transport ac,-2013,2015-2016,-2,Second-hand; aid; KC-130R version
,,2,Cessna-172/T-41,Trainer/light ac,2014,2015,2,
,,4,SR-22,Light aircraft,2016,2016-2017,4,
,Colombia,25,Bell-205/UH-1 Huey-2,Helicopter,1998,1999-2002,-25,Second-hand UH-1H rebuilt to UH-1H-2; aid for police anti-narcotics operations
,,6,S-70/UH-60L,Helicopter,1998,1999-2000,-6,$96 m deal (aid); for police anti-narcotics operations
,,-42,Bell-205/UH-1 Huey-2,Helicopter,-2000,2002-2003,-42,$323 m deal (part of $1.3 b 'Plan Colombia'); Second-hand UH-1H rebuilt to UH-1H-2; aid for anti-narcotics operations; incl 12 for police
,,15,Bell-212/UH-1N,Helicopter,2000,2000,15,Second-hand aircraft bought by USA and delivered to Colombia as aid; for anti-narcotics operations
,,-2,OV-10 Bronco,Ground attack ac,-2000,2002,2,Second-hand; aid
,,14,S-70/UH-60L,Helicopter,2000,2001,14,$106 m deal
,,16,S-70/UH-60L,Helicopter,2000,2001,16,$116 m deal (part of $1.3 b 'Plan Colombia' anti-narcotics aid); incl 2 for police
,,5,SA-2-37/RG-8 Condor,Reconnaissance ac,2000,2002-2003,-5,Part of $1.3 b 'Plan Colombia' anti-narcotics aid; SA-2-37B version
,,10,OV-10 Bronco,Ground attack ac,2001,2003,-10,Aid; Second-hand
,,1,C-130B Hercules,Transport aircraft,2002,2002,1,Second-hand; aid; for anti-narcotics operations
,,5,K-MAX,Helicopter,2002,2002,5,Originally for Peru; for Police anti-narcotics operations
,,-1,OT-47B Tracker,AEW/AGS aircraft,-2002,2002,1,Possibly on loan; for anti-narcotics operations
,,3,BT-67,Transport aircraft,2004,2005-2007,-3,$17 m aid; second-hand C-47 transport aircraft rebuilt to BT-67/AC-47T transport/combat aircraft in USA; for police anti-narcotics operations;
,,8,S-70/UH-60L,Helicopter,-2005,2007,8,$100 m deal; incl for use anti-narcotics operations
,,-6,Bell-205/UH-1 Huey-2,Helicopter,-2006,2007,6,Second-hand UH-1H rebuilt to UH-1H-2; aid
,,12,Bell-206/OH-58,Light helicopter,-2006,2007,12,Bell-206B-3 version; for training
,,2,King Air,Light transport ac,-2006,2007,2,King Air-350 version; for SIGINT (ELINT) with ELINT system from Israel
,,-16,ScanEagle,UAV,-2006,2006-2007,-16,
,,1,Boeing-767,Transport aircraft,2007,2010,1,Second-hand; $60 m deal; modified to MMTT tanker aircraft in Israel before delivery
,,15,S-70/UH-60L,Helicopter,2007,2009,15,$225 m deal
,,-12,Bell-205/UH-1 Huey-2,Helicopter,2008,2011,-12,Second-hand UH-1H rebuilt to UH-1H-2
,,12,Bell-212/UH-1N,Helicopter,2008,2009,-12,Second-hand aircraft bought by USA and delivered to Colombia as aid; for anti-narcotics operations
,,-1,Cessna-180 Skywagon,Light aircraft,2008,2008,-1,Second-hand; aid; Cessna-182R version
,,-10,Cessna-208 Caravan,Light transport ac,2008,2009-2010,-10,Incl for at least 5 for reconnaissance and 2 for medevac
,,-2,King Air,Light transport ac,-2008,2009-2010,2,King Air-350 version; incl for medevac
,,2,King Air,Light transport ac,2008,2009,2,King Air-350 version
,,-7,S-70/UH-60L,Helicopter,2008,2011-2012,-7,Colombian UH-60A rebuilt to UH-60L
,,-14,T-37B,Trainer aircraft,-2008,2008-2010,14,Second-hand
,,20,Bell-206/OH-58,Light helicopter,-2009,2010-2013,-20,Second-hand; 'Plan Colombia' aid; OH-58A version
,,25,Legacy,Light aircraft,2009,2010-2014,-25,$6.5-10 m deal; Synergy-FG or Legacy-FG version; assembled in Colombia; for training; Colombian designation T-90 Calima
,,-3,A-37B Dragonfly,Ground attack ac,-2010,2011,-3,Second-hand; incl some second-hand Chilean aircraft returned to USA and transferred to Colombia
,,-2,King Air,Light transport ac,2010,2010,-2,King Air-350 version
,,1,King Air,Light transport ac,-2010,2011,1,King Air-350 SIGINT (COMINT) version with COMINT system from Israel
,,1,King Air,Light transport ac,-2010,2011,1,$7.7 m deal; King Air-350i version
,,-10,Bell-205/UH-1 Huey-2,Helicopter,2011,2013-2019,-7,Second-hand UH-1H rebuilt to UH-1H-2
,,1,King Air,Light transport ac,-2011,2012,1,King Air C-90GTx version
,,7,S-70/UH-60L,Helicopter,2011,2012,-7,Incl 3 for police
,,-4,Bell-206/OH-58,Light helicopter,-2012,2013,-4,Second-hand; aid; OH-58A version; for training
,,4,Bell-412,Helicopter,2012,2013-2014,-4,From Canadian production line
